STATION,NAME,DATE,TAVG
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/20/2017,66
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/21/2017,65
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/22/2017,65
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/23/2017,62
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/24/2017,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/25/2017,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/26/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/27/2017,67
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/28/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/29/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/30/2017,76
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/1/2017,70
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/2/2017,68
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/3/2017,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/4/2017,70
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/5/2017,66
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/6/2017,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/7/2017,67
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/8/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/9/2017,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/10/2017,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/11/2017,62
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/12/2017,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/13/2017,60
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/14/2017,61
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/15/2017,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/16/2017,62
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/17/2017,58
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/18/2017,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/19/2017,60
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/20/2017,60
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/21/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/22/2017,62
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/23/2017,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/24/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/25/2017,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/26/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/27/2017,58
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/28/2017,62
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/29/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",12/30/2017,64
